"","x"
"3707","Pro-EU commentator on LBC talking about how the car industry “isn’t being affected” by Brexit and that external factors are the main drivers for multiple international car companies plan to leave the UK post Brexit. #Delusional #BrexitFog #StopBrexit #RevokeA50 @NickFerrariLBC"
"3708","@labourlewis @RCorbettMEP @UKLabour Honda is down to brexit .. the car industry deserting the UK is solely down to brexit. They are still making the cars... just not here"
"3709","""Fact sheet: Brexit and the auto industry""

#automotiveindustry #Brexit #UK https://t.co/s4PxgUdnGk"
"3710","@mrfgrimes1 @AllisterHeath @Telegraph The Honda boss who said it wasn’t brexit related, says hi back. Car manufacturing is reeling from a number of issues. The sudden attack on diesel by legislators, German dieselgate, and a general slow down in world car demand."
"3711","@SLarches @mrfgrimes1 @AllisterHeath @Telegraph Car manufacturers are reeling from a global slow down in demand. They were tooled for diesel, the politicians then pulled the rug out from under them. They’ve been slow to retool, dieselgate, &amp; the industry is overweight on car finance. Take your pick, brexit is far down the list"
"3712","@FT @mrjamesob I remember the Good Old Days when the U.K. <U+0001F1EC><U+0001F1E7> had a booming Car Industry        <U+0001F697> <U+0001F699><U+0001F697> #Brexit <U+0001F914><U+0001F3F4><U+000E0067><U+000E0062><U+000E0073><U+000E0063><U+000E0074><U+000E007F><U+0001F1EA><U+0001F1FA>"
"3713","@PeteWishart More #Brexit Tory Incompetence. This time Agriculture. Makes a change from the Car industry &amp; Shipping. I think fishing will be next to get ruined? <U+0001F914><U+0001F3F4><U+000E0067><U+000E0062><U+000E0073><U+000E0063><U+000E0074><U+000E007F><U+0001F1EA><U+0001F1FA> Tories what are they good for? Absolutely nothing"
"3714","@ByDonkeys some excellent John Redwood car industry consumer advice here ... 

https://t.co/xpeh5cVkq1"
"3715","@iainmartin1 @blue2win @CarolineFlintMP She’s comprehensively wrong as has been pointed out by many people on this thread. Your Brexit - and let’s be clear, this IS your Brexit - is a car crash."
"3716","car industry destroyed by brexit Andy Palmer, chief executive of Aston Martin,  that a no-deal Brexit could imperil Britain's entire industry of high-volume car manufacturers.
""It's not scaremongering, and it's not Project Fear,"" he told me. ""It's reality. It's about economics."""
"3717","@AnnaMcMorrin @unitetheunion @WalesForEurope @CardiffNorthLAB @walestuc @peoplesvote_uk @LabPeoplesVote @UniteWales @RoisinMcDermott @MaryUniteWales Don't help that people like McCluskey,Corbyn,Mann,hoey,flint etc and their backed brexit,and Mays brexit laid down the conditions that are forcing car manufacturers abroad.once we were the gateway to the EU,and the Japanese feel the UK has betrayed them."
"3718","@ledredman betrayed labour then ,still doing it with the car jobs he helped to lose ,backedthe tory brexit,despite what the japs have said for 2 years,he helped back article 50 and sacked a pro eu mp smith ,but allowed outers to stay."
"3719","@lisanandy @unitetheunion @UKLabour McCluskey and labour leavers with there silly ideas on brexit,hoey,Mann, flint support a Tory brexit.the Japanese have had enough with Being betrayed by UK  has the gateway to Europe,goodbye car industry because of useless political game playing in the real world."
"3720","@CiaraMcMillan4 @Brexit Who the hell is DExEU. Trade, do you really think car dealers, fruit &amp; veg plus a load of other stuff over there want to lose there biggest Importers. We Import MORE from them than we export to them."
"3721","https://t.co/YGaVL5jAOd  Some current thoughts on Brexit from some of the UK's biggest automotive businesses.  At least soon we should have some decisions..."
"3722","@terribly_nice @deerfold @Jacob_Rees_Mogg If you think Japanese 
 car manufacturers are moving because of Brexit, you might like to do a bit of fact-checking."
"3723","@LBC @mrjamesob Brexit is a divorce, not buying a new car, home or food mixer.. Because the separation deal and future relationship is not acceptable we should just stay married to an ungrateful exploiter and abusive former partner who has only shown the very worst of themself in this process?<U+0001F644>"
"3724","@Wouldbescouse @sturdyAlex @theresa_may So when all the car factories have moved and manufacturing industry disappeared (the promise by P Minford - pro Brexit economist) &amp; banks relocated to Frankfurt, when r u expecting long term prosperity? Davis said it may take 30yrs, JR-M suggested 50yrs. Are you younger than 35?"
"3725","@LenMcCluskey What’s that stupid old fart going to do, sprinkle fairy dust down the rabbit hole of Brexit that he’s backed and expect the foreign auto manufacturers that own the British motor industry to roll over and keep them in work building cars they can no longer sell ?"
"3726","@dbbovey That sounds like a case being made for Brexit: twice a day postal deliveries, blue passports and no more Johnny-foreigner car manufacturing (bring back the Robin Reliant 3 wheeler). https://t.co/Roa4fR9dFI"
"3727","Is Brexit a car crash for Motoring? I’ll be chatting with @cooper_m on @lstwrd @TodayFM later this evening. #Brexit https://t.co/HgO5xD0uTK"
"3728","#Brexit.. dont worry Leave told us your jobs are safe .. oh yeah
After our car production is decimated.. our retail roles start shipping out 

Primark tell 200 staff to move to Dublin or risk redundancy..

https://t.co/RjUv0wTtG7

Sent via @updayUK"
"3729","@autocar How many cars do they make ? I bet mini make more cars in one day than all them company put together! The uk car manufactures are in big trouble with Brexit <U+0001F622><U+0001F697>"
"3730","@Luis62830313 @Doozy_45 They are motivated by money. Hate was just the vehicle that allowed them to rally enough votes for Brexit to pass. Make no mistake, this is about protecting the rich at the expense of the nation. Same shit in USA. #TaxTheRich"
"3731","@income4lifeplus @pylade1779 @NadineDorries @AllisterHeath That's okay then. Killed on the alter of Brexit, then it really will have become a cult.
Sheep farming, car manufacturing, shellfish fishing, what next?"
"3732","@Jacob_Rees_Mogg I'd say you'll be up Shit Creek without a paddle in a few places no matter what kind of Brexit you do or don't deliver.  Swindon, Sunderland, Pontypool, Oxford, Birmingham as the wheels come off of the car industry."
"3733","Fear of Brexit disruption stalks Turkey-UK trade ties
 
Vehicle favoured by plumbers and builders imported via EU’s customs union with Ankara"
"3734","@karen3brown @simonrug WRU negotiating Brexit, now that would be a car crash of biblical proportions"
"3735","UK automotive industry warns of Brexit exodus https://t.co/xnGk0dFNt4"
"3736","Are you travelling abroad after 29th March? If so we've a guideline to assist you in the event of a no-deal Brexit. This includes Passport validity, European Health Insurance Card and if you plan to drive or hire a car abroad. Bare Holidays Team <U+0001F499> https://t.co/PAlPqewGMw https://t.co/L8h2HKOyXs"
"3737","@Nick4125 @jimeekay @moe_180 @WinterfellT @swearingbrexit Brexit without a deal is actually reneging  on previous commitments and promises.

Rather like going to a car showroom, not liking the offer, then stealing the car anyway.

You heap up a deal of trouble for yourself!"
"3738","""Japanese auto giant Toyota has warned that it could be forced to pull operations out of the UK in the event of Britain crashing out of the European Union without a deal.""
https://t.co/IKLxctTauB https://t.co/1tCZpmZ487"
"3739","So it's back to insurance Green Cards for UK drivers when taking a vehicle outside the UK after the 29th of this month then. Unlike some, @AdmiralUK insurance seem to be admirably well prepared for post-No Deal Brexit motoring with this email today. https://t.co/jXzuywZmhC"
"3740","@Channel4News We can guarantee that in the next few months someone will be killed by a car, or by smoking , or by drinking or by sport. But we don’t ban them all. The above will probably cause more deaths than Brexit if Brexit causes any at all"
"3741","#Brexit impact on the #automotive transaction market? #Kent https://t.co/EOBAXwBBfW"
"3742","@heebjeebus Honda's Europe boss, Ian Howells, said the automaker will focus its investments on China, the U.S. and Japan. ""This is not a Brexit-related issue for us. This decision has been made on the basis of global changes,

Hence why they are also closing a plant in Turkey."
"3743","UK automotive industry warns of Brexit exodus https://t.co/4AzEg8tSBV The research comes after several"
"3744","UK automotive industry warns of Brexit exodus https://t.co/2KN8mJqTH9 The research comes after several"
"3745","@Haggis_UK Fake news scaremongering the car industry is in trouble world wide nothing to do with brexit"
"3746","Toyota is the latest auto giant to threaten to pull out of the UK in the event of a 'bad Brexit' #Brexit  https://t.co/MBeeX4gOBy via @businessinsider"
"3747","@Eyecatcher_Pro It would be cheaper to transport the completed car from the UK to mainland Europe, but customs delays and costs linked to brexit put paid to that. Well done."
"3748","Ford and other auto makers worried about Brexit: What to know https://t.co/GCgbSQHMU7 via <U+2066>@freep<U+2069>"
"3749","UK automotive industry warns of Brexit exodus  https://t.co/3ssIPjJnir https://t.co/CVBibRXn6O"
"3750","@jeremycorbyn @unitetheunion You wanted Brexit. Even when we said the Car manufacturing industry would suffer, you spoke against every effort to stop Brexit. When 700k people marched against this, you were silent.  

This is your failure - own it."
"3751","@SocialistChris @theresa_may Good riddance! - we don't need successful capitalist car producers like BMW. The new Peoples tractor factories will double production once #Brexit helps us deliver a socialist paradise like my good friend Maduro did in Venezuela!"
"3752","Government Advice - Prepare to drive in the EU after Brexit: lorry and goods vehicle drivers. What truck and lorry drivers from the UK may need to do to drive in the EU and EEA when the UK leaves the EU on 29 March 2019. https://t.co/XgIeMD2eB2   #Brexit https://t.co/je0fohOmZf"
"3753","Jezbollah went to a seminar at the Sturgeon school of rhetoric.....
'Toreee car crash, toreee cliff edge, toreee hard toreee brexit!!!' https://t.co/vuTjVkLrrw"
"3754","@AdamCaplin @jessphillips They have said that brexit uncertainty is part of the decision! The fact japan will soon have a better trade relationship with the EU than us doesn't exactly help. Hence why all of a sudden Honda turned around their ship with materials for their new car."
"3755","@AdamCaplin @jessphillips It's raining car manufacturers scaling back production.. due to brexit"
"3756","@stevenjroberts5 @ChisieWeirdo @hilarybennmp @theresa_may Brexit makes the UK the worst place in the world to assemble a car. Be that diesel, electric or pedal powered.  Modern manufacturing requires frictionless borders and inventory not stuck in 50 mile long parks parks."
"3757","@DavidGSmith18 @gavinesler Brexit affects every auto manufacturer. They are all saying the same thing.  They are all doing the same. Respecting Leave means Leave by leaving. 
Same for Aerospace, pharma, tv production.  UK has publically announced that its putting nationalistic populism ahead of business"
"3758","@stevenjroberts5 @hilarybennmp Brexit of any kind makes the UK the worst place in the world to assemble a car."
"3759","@unitesouthwest Let’s make the UK the worst place in the world to assemble a car. 

That’s the Brexit promise."
"3760","@TammRehgallag @Sillyshib Brexit is the target Leavers have drawn on UK's forehead. Given the downturn in car purchase, EU deal with Japan &amp; Trump trade wars, we would have had to work hard to keep ahead even inside the EU. Outside, we are the tiny irrelevance to be discarded, exploited or ignored."
"3761","Like the loss of Japanese car manufacturers from the UK, this was a completely obvious consequence of Brexit, warned against during the referendum campaign. Short memories eh?
Brexit is a 'huge help' to Irish republicanism, says dissident leader

https://t.co/gLSOEozkTT"
"3762","@LenMcCluskey What's happening at Swindon and other vehicle manufacturers is a result of your support of Brexit. Cake and eat it?"
"3763","Perhaps Mr Bercow's indirect reference to indigenous anglo-norman Law in his wife not being a chattel, but her car being at his disposal might be an affectionate point from which to commence? https://t.co/7sWvG7ZIuq https://t.co/LZ23IZ83nz"
"3764","Japanese auto giant Toyota has warned that it could be forced to pull operations out of the UK in the event... https://t.co/fP2A4hlpts https://t.co/tVKFvNWKOj"
"3765","@RHANews is deeply concerned at the complete and utter lack of clarity on the border crossing processes post-Brexit. 10s of 1000s of UK international hauliers are still in the dark. Because of government ineptitude they are simply not ready. @RHARichardB  https://t.co/JwH9YBvoPk"
"3766","@Metatone2 @alexhern (I recognise that the Brexit German carmaker argument as formulated in 2016 has been replaced with the reality which Brexit involves all German carmakers leaving the UK and making their cars in Germany now, but the narrower rebuttal still applies)"
"3767","@Metatone2 @alexhern This runs into the Brexit German carmaker problem, though - while Merkel and Macron would be fine with UDI Scotland and enjoy supporting Nicola in the Law of the Sea fight with rUK over oil boundaries, Spain would have an absolute veto at every stage"
"3768","@RedBrexit2019 @shahmiruk If you're negotiating, say, a price for a new car, you could always use no deal to walk out and the salesperson gets nothing, so no deal is a useful tactic. With Brexit no deal means burning your old car, leaving nothing, apart from the obligation to carry on paying the £39bn HP."
"3769","#Brexit is set to impact UK #motorists #driving in EU countries in a number of ways; this guide sets out the changes...

https://t.co/sHYBwWIBJm"
"3770","The #tories in the 80s destroyed our UK owned car shipping steel &amp; coal industry and today the #tories are destroying what’s left with this crazy uninformed #brexit #ThePeoplesVote is the only democratic way forward"
"3771","@jeremycorbyn @unitetheunion I’ve worked in the Auto industry in (very) high tech design and development for over 35 years. Brexit is the death knell of the industry in this country. Hundreds of thousands of families will be devastated, our economy will be more fragile. We don’t need to leave. Please stop it"
"3772","@IpswichMoonCult @jeremycorbyn @unitetheunion ""The company denied any link with Brexit but auto industry experts said the uncertainty over future market access and the risk of tariffs must have played a part."" Do you think that Honda are going to tell the truth and shit in their own bed in the UK? https://t.co/aYyEECCfuA"
"3773","Japanese car producers, including Nissan, have said that Brexit uncertainty is not helping them ""plan for the future"". Nissan recently opted to build the next X-Trail model in Japan, rather than in Sunderland.
https://t.co/XzvhZsEreQ"
"3774","Ford warned that a no-deal Brexit would be “catastrophic” for its business and put jobs at risk at its manufacturing plants. The US car maker has said it will do “whatever is necessary” to protect its business as it ramps up plans to move UK jobs overseas.
https://t.co/C63osz1otL https://t.co/IYtcxsTNtL"
"3775","Toyota slashed its profit forecast for 2019 and warned that it will be impossible to avoid the harmful effects of a no-deal Brexit.
“We cannot avoid the negative impact no matter how much we prepare beforehand if Britain leaves the EU with no deal” https://t.co/yT4tEb2hJI https://t.co/Z1lEQYUohG"
"3776","Honda-The Japanese car giant announced in February it will close its manufacturing plant in Swindon in 2021, culling 3,500 jobs - not in response to Brexit."
"3777","Japanese car producers, including Nissan, have said that Brexit uncertainty is not helping them ""plan for the future"". Nissan recently opted to build the next X-Trail model in Japan, rather than in Sunderland.
https://t.co/XzvhZsEreQ"
"3778","Toyota slashed its profit forecast for 2019 and warned that it will be impossible to avoid the harmful effects of a no-deal Brexit.
“We cannot avoid the negative impact no matter how much we prepare beforehand if Britain leaves the EU with no deal” https://t.co/yT4tEb2hJI"
"3779","@DarrenGarrod @Eddystone506 Nissan has confirmed it has abandoned plans to build the new model of one of its flagship vehicles at its plant in Sunderland. https://t.co/1hbHKoKZGV"
"3780","@DarrenGarrod @Eddystone506 Japanese car producers, including Nissan, have said that Brexit uncertainty is not helping them ""plan for the future"". Nissan recently opted to build the next X-Trail model in Japan, rather than in Sunderland.
https://t.co/XzvhZsEreQ"
"3781","More than 1,400 British jobs are at risk after two European suppliers of car parts, Schaeffler and Michelin, announced plans to close UK factories in a blow to the wider automotive industry ahead of Brexit. https://t.co/NnsYqWgcNg"
"3782","@DarrenGarrod @Eddystone506 More than 1,400 British jobs are at risk after two European suppliers of car parts, Schaeffler and Michelin, announced plans to close UK factories in a blow to the wider automotive industry ahead of Brexit. https://t.co/NnsYqWgcNg"
"3783","Ford warned that a no-deal Brexit would be “catastrophic” for its business and put jobs at risk at its manufacturing plants. The US car maker has said it will do “whatever is necessary” to protect its business as it ramps up plans to move UK jobs overseas.
https://t.co/C63osz1otL"
"3784","Nissan has confirmed it has abandoned plans to build the new model of one of its flagship vehicles at its plant in Sunderland. https://t.co/1hbHKoKZGV"
"3785","@DarrenGarrod @Eddystone506 Toyota slashed its profit forecast for 2019 and warned that it will be impossible to avoid the harmful effects of a no-deal Brexit.
“We cannot avoid the negative impact no matter how much we prepare beforehand if Britain leaves the EU with no deal” https://t.co/yT4tEb2hJI"
"3786","@DarrenGarrod @Eddystone506 Ford warned that a no-deal Brexit would be “catastrophic” for its business and put jobs at risk at its manufacturing plants. The US car maker has said it will do “whatever is necessary” to protect its business as it ramps up plans to move UK jobs overseas.
https://t.co/C63osz1otL"
"3787","Check out our top 3 stories on Indian Automobile sector :
1. India an important automobile  export hub: https://t.co/SA1803u74y   
2. India &amp; the Brexit-hit UK car market: https://t.co/o47jXR4A7v   
3. India, an emerging global manufacturing auto hub: https://t.co/rIUFFWQR5O https://t.co/x52yK1Xp5t"
"3788","New book ‘Keeping the Wheels on the Road – UK Auto Post #Brexit’ https://t.co/4PiYxD7fTD edited by @dgbailey @deruytea @johnmair100 seeks to understand the underlying elements that have created the current maelstrom in the UK car industry. @BCUPressOffice https://t.co/YXHBgkH7w1"
"3789","New book ‘Keeping the Wheels on the Road – UK Auto Post Brexit’ https://t.co/4PiYxD7fTD edited by @dgbailey @deruytea @johnmair100 seeks to answer the underlying elements that have created the current maelstrom in the UK car industry. Is #Brexit the final straw? https://t.co/odo9dxxR7L"
"3790","New book ‘Keeping the Wheels on the Road – UK Auto Post Brexit’ https://t.co/4PiYxDoQLb edited by @dgbailey @deruytea @johnmair100 seeks to answer the underlying elements that have created the current maelstrom in the UK car industry. Is #Brexit the final straw? @BCU_CBS https://t.co/Ummiol6sXd"
"3791","@SkyNews @realDonaldTrump Whats up with the #Brexit move?  Maybe stick with that #news and your own clown car of a #government.  #journalism   We are all laughing"
"3792","@mark_phillips1 @campbellclaret But I do. Particularly in the context of automotive manufacturing.
Would any manufacturing business have Brexit on their list of positive factors? No, of course not (as confirmed by Minford). Have manufacturers been constantly warning about it? Yes.
It's not hard..."
"3793","@LenMcCluskey @Honda_UK ""It's easier to fool people than convince them that they've been fooled""
I'm trying to work out if you're the fool or the conman. Honda can't make a profit with Brexit, neither can any car manufacturer, you're just going to let union jobs get pissed away cuz you read a beer mat."
"3794","@ITVBorderRB @Carlaw4Eastwood @NicolaSturgeon <U+0001F449>Wait until Brexit arrives folk's you wont be able to afford your mortgage or car because you wont have employment due to Carlaw's Brexit saga. <U+0001F448><U+0001F3F4><U+000E0067><U+000E0062><U+000E0073><U+000E0063><U+000E0074><U+000E007F> don't be fooled by this idiot uttering bollocks."
"3795","#fmqs  wait until Brexit folk you won't be able to afford you mortgage or car or have job <U+0001F602><U+0001F449>@Carlaw4Eastwood @LabourRichard <U+0001F448><U+0001F602> @theSNP"
"3796","@Grouse_Beater @BBCPhilipSim @WingsScotland #fmqs  wait until Brexit folk's you won't be able to afford you mortgage or car or have job <U+0001F602><U+0001F449>@Carlaw4Eastwood @LabourRichard <U+0001F448><U+0001F602> @theSNP"
"3797","@elizroy52 @MikeSjw So why's the Guardian highlighting the so called 'demise of the car industry' in #Brexit UK? You'd think they'd approve .. ?"
"3798","@brexit_politics @SarahLeeNotCake @gray_jones26 No it isn't. It's like asking what would happen if you deliberately smashed in your car lights and drove in the dark. Replacing them is an option, but involves completely unnecessary effort and risk when you could just not fecking smash them in to begin with."
"3799","if only there were a way to auto-block twitter ""eggs"" with random numbers in their username and &lt;20 followers/following in replies.... twitter would be a much happier place without a million and one bot/trolls chiming in about stuff #brexit #antisemetism #touchysubjects"
"3800","@LenMcCluskey You back #Brexit, which is the main cause of all this. Your cognitive dissonance must be like the whole percussion section of an orchestra playing in your head.

Honda turned the ship around carrying the equipment to set up electric car manufacture in Swindon, because —#BREXIT!"
"3801","@sumoarseman @ORourkeGerry @campbellclaret Given a straight up choice between closing a car plant in the EU or here in the UK, the choice will be UK, because — #Brexit.

The fact #Honda were going to invest in making electric cars at #HondaSwindon, but turned the ship carrying the equipment around, is proof of that."
"3802","@ComradeHirst @Eddystone506 How can you nationalise Honda plants? Brexit is in 22 days. Also my understanding is that the car industry relies on just-in-time deliveries of parts. That will be obliterated if there is no deal."
"3803","@ComradeHirst @Eddystone506 What are your thoughts on the impact of brexit on the car industry, farming sector for wg?"
"3804","#<U+82F1><U+5B57><U+8A18><U+4E8B>100<U+672C><U+30C1><U+30E3><U+30EC><U+30F3><U+30B8> 83

In fresh blow to U.K. auto industry as Brexit looms, Nissan may cut up to 400 jobs at Sunderland plant | The Japan Times https://t.co/AONH25qjhh"
"3805","@LenMcCluskey Well, they will be; it'll be thanks to the likes of you, Len, you silly old fellow! Japanese car builders have no desire to mistreat their workers, quite the contrary, but there's no sense in making the cars in UK if import tariffs to the EU, etc., are hiked up 10%+ on Brexit."
"3806","@richardjwadland @swoodexitbrexit @Hedd_Wyn_John @gjb70 @nick_gutteridge @JuliaHB1 Yeah, Sony left because of Diesel.  Sure.  And then you have Honda who were going to invest in electric vehicle technology in Swindon and then changed their mind because of the Brexit uncertainty.

https://t.co/Y1axiexqAJ"
"3807","@uk_domain_names It's very unlucky of us to be losing all these car firms at the same time as Brexit, even though the reason they are going is clearly nothing to do with Brexit.  Just Project Fear.  We'll just Article 24 the Lisbon Treaty 2020 and we'll be fine."
"3808","@campbellclaret Totally disagree with Mr mccluskey he's worse than the Westminster elite keep ya nose out and do your job you are well overpaid for by the likes of me your useless you should be pushing to hit car companies with tariffs putting uk jobs at risk using brexit as  ransome"
"3809","Bet the car workers are chuffed to bits that you support #Brexit @UKLabour #LeaveMeansLess https://t.co/muvc5ON80x"
"3810","Random woman just overheard someone asking about the #BuckFrexit tee..she marched over and said this
 (I mock ye not)
“well I voted Brexit because all you lot saying you are European, if you trace your family tree you’ll see we are all originally British” 
This woman drives a car"
"3811","#Brexit. Creating chaos and confusion wherever it goes.

An email from my insurer about car insurance changes. 

So much for an easy change over.  

#BrexitChaos 
#BrexitShambles 
#GTTO 
#revokeA50 https://t.co/QC2KJBig3F"
"3812","@ChristineCardin @faisalislam @RemainerNow @pimlicat @Eurostar Travelled Tuesday by car.40m lorry queue from Dunkerke-Calais as Customs test for no deal Brexit checking each. Stuck on closed autoroute 2.5hours-no warning. Combined with Gilets Jaunes protests in towns/Tunnel/port took extra 5 hrs to get back. Pray we don’t go for no deal."
"3813","If a car is made in the UK, or the parts are, a no-deal Brexit means firms will have to apply to the EU to show they comply with EU safety and environmental standards.
Without this green light, they won't be able to sell their cars and parts in the 27 member states."
"3814","I can’t watch #Brexit reports on the morning news anymore. It’s not a car crash, it’s like knowing there’s a pile up ahead and stepping on the accelerator regardless."
"3815","@nursnewonrerd @Jacob_Rees_Mogg Barry please read the FULL STORIES AS TO WHY THE UK CAR INDUSTRY'S ARE IN DECLINE.
NOT just the project fear, I've read every story out there, the truth is not because of BREXIT. <U+0001F914>"
"3816","The UK's leading white goods brand is Turkey's Beko. The British builder's vehicle of choice is produced primarily in Turkey. So too is a swathe of high street fashion. So what would a ""hard Brexit"" mean for Turkish exporters? The FT takes a look https://t.co/jbQ4MwESiE"
"3817","@PeugeotUK Wouldn’t bother as the price of this car is going to go up once the tariffs are added after Brexit."
"3818","With a #nodeal #brexit and no tarrifs. Cheaper car imports will cause German recession 
Britain will prosper with a 'hard but smart' Brexit say top German economists https://t.co/F5lX38Mkxc via @telebusiness"
"3819","“As your current motor insurance provider, we would like to highlight the possible impact of a no deal Brexit on your car insurance policy. If you intend to take your vehicle outside the UK after 29th March 2019 you will require a Green Card.”"
"3820","@DaveW1946 Along with millions of others I have not seen one benefit to leaving the EU , and in fact the more I see ie car manufactured packing up for a start , caused by Brexit you may not believe that but I do , the more I am certain we should remain"
"3821","@baroncols @Alfiebubbles Car drivers/motorcyclists pay road tax and their taxes so why not cyclists. Most of the cycle lanes have been funded from the European Social fund. Post Brexit to ensure cyclist safety by providing cycle routes the additional funding needs to come from somewhere"
"3822","Toyota is the latest auto giant to threaten to pull out of the UK in the event of a ‘bad Brexit’ https://t.co/ixPFaBQTNz https://t.co/etML5c38dP"
"3823","Brexit Car Parks #LetsGoWTO #WTORules #ILoveWTO https://t.co/oWne1tqfCg"
"3824","Toyota is the latest auto giant to threaten to pull out of the UK in the event of a 'bad Brexit' - Business Insider https://t.co/FCNBXf6qOU"
"3825","Just received this email from my car insurance. No Deal Brexit is becoming a reality! https://t.co/xIssY4dt7X"
"3826","@OwenPaterson And this is what’s going to happen, farmers, car makers and UK manufacturing goes out of business but don’t worry Owen’s on a good number. https://t.co/dlo4Xce785"
"3827","@unitetheunion @itvnews Stop Brexit to help save Honda and all the other car jobs. #BrexitIsACrimeScene"
"3828","@gdeichen @heraldscotland Schaeffler, a car parts company, is closing two UK factories because of Brexit, leading to 570 fewer jobs. Then there’s Nissa, Rolls Royce, Honda and Ford, all moving various levels of production out of the US."
"3829","interesting - just received an email from my car insurance (Admiral). My insurance WILL be valid in EU after Brexit - but will need a (free) Green Card - which I need to contact Admiral to get issued to me

Presumably, the same goes for forrins wanting to drive here too"
"3830","@RedcliffeScott This lady is not going anywhere but the makers of the film thought she’d be a good vehicle to scare others and cause more division and resentment on Brexit. That’s not helpful at all"
"3831","Sorry to hear General Motors in Ohio closed plant laying off 1700 people...The car industry World Wide seems to be contracting regardless of Brexit"
"3832","Toyota is the latest auto giant to threaten to pull out of the UK in the event of a 'bad Brexit' - Business Insider https://t.co/b3HLv9fLRS"
"3833","Only way to save Honda Swindon and other car manufacturing plants is to stop Brexit. Your failure to offer any opposition to the government’s disastrous plan makes you complicit in every single job loss due to Brexit. Shame on you! https://t.co/U5JJdtE2l4"
"3834","See, for instance, the New IRA statement claiming responsibility for the Derry car bomb in January:

""All this talk of Brexit, hard borders, soft borders, has no bearing on our actions and the IRA won’t be going anywhere.”"
"3835","@losgallman @ierne6 @asylumboundbook @sarahwollaston *Again* Japanese car industry isn't relocating to any other EU member state.

I'll bring back your previous lie that Honda chief told Jap MSM the reason for leaving was Brexit."
"3836","In fact - after all the recent job losses and effective decimation of our efficient, car manufacturing base - there isn't ANY #Brexit which is good for the Country.

#BrexitCrime https://t.co/JDosOQK18m"
"3837","@lisanandy @unitetheunion @UKLabour Do you show #solidarity by supporting #torybrexit and along with @LenMcCluskey pushing for #LEXIT if the Tories fail? Any kind of #Brexit damages the British Car Industry, it’s the worst kind of hypocrisy to stand with those whose jobs you are partially responsible for losing."
"3838","The support vehicle for nige's brexit march has been found. All it needs is a mini bar and a chemical toilet and it'll be up to snuff. https://t.co/QGCXrHpCZF"
"3839","I know #Brexit is being blamed for car manufacturers retreating but, a week into March, has anyone seen a 19 plate car yet?"
"3840","@Dizzyeek @Eddystone506 You mean all of the car manufacturers who explicitly said that it had nothing to do with Brexit?"
"3841","@YouareParsons @faisalislam @BEERG @donnyc1975 Are you still believing the German car manufacturers fallacy??? <U+0001F644>

One of the heads of the German manufacturing industry bodies recently said No Deal would be better than an extension... https://t.co/Sq7rd4zPdp"
"3842","@spectator Oh dear, all the great Brexit rhetoric coming home to roost, “easiest deal ever”, “German car makers will ensure we get a good deal”, “the EU 27 will be totally divided”, “we hold all the cards” 
Has the rewriting of Brexit history started already, or is this just the blame game?"
"3843","Post #Brexit, we will punch holes in the roof of the channel tunnel, turning it into the worlds largest car wash #Manicfesto"
"3844","Upon the implementation of #Brexit, we will pave Dover Harbour to provide more car parking spaces.  #Manicfesto"
"3845","@Haggis_UK More @Conservatives denial showing how Tory MPs badly misunderstand EU/SM, JIT manufactg. &amp; uber-complex supply/distrib. chains. It's all over Japan's press that they've LOST FAITH in 'Brexit UK' as a long-term auto partner (not 1st time! nb BAe/Rover/Honda). They WILL ALL quit!"
"3846","@LenMcCluskey Global downturn in automotive industries is affecting every country. Electric cars are the future &amp; where we need to be concentrating. Brexit ensures we can make most of this coming revolution."
"3847","Toyota is the latest auto giant to threaten to pull out of the UK in the event of a ‘bad Brexit’ https://t.co/fZ7murjUJb"
"3848","@Brexit @MoggMentum <U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9>
LARGE, SMELLY HEAPS OF IT! Like anything that issues from this crooked used car salesman's mouth."
"3849","@lisanandy @unitetheunion @UKLabour What’s your solution, though? Compulsory seizure of commercial car companies’ assets followed by state manufacture of all cars? That’s as ridiculous as your Brexit position."
"3850","Toyota is the latest auto giant to threaten to pull out of the UK in the event of a 'bad Brexit'
#StopBrexit #FBPE #PeoplesVote #finalsay 

https://t.co/Y5PqFLkorW"
"3851","@Independent Those big German car companies, are they the same ones that were going to make sure we got a great #brexit deal?
Not really happening is it?
#FinalSay"
"3852","@DanielJHannan Two years ago Allister told us that German car makers would stop a no deal Brexit and all sides would get real about the need to maintain free-trade 
Now he's hardened and no-deal Brexit will be fine. #sunlituplands
https://t.co/xxubfyQDKJ"
"3853","Vauxhall can be Brexit survivors, claims PSA boss | Autocar https://t.co/VM7JOsKBoM"
"3854","Things we will have after Brexit :
Blue Passports
Tinned food
Houses
Some energy
Jacob Rees Mogg

Things we won't have after Brexit:
Medicines
Car manufacturers
Flowers 
Friendly neighbours
Peace in Ireland 
Easy European Travel
Tarrif free trade
European Doctors

#Brexit"
"3855","#Sheffield councillor @paulscriven is a liar and a coward. Caught out lying about the car industry, diesel and Brexit he followed me then blocked me. I remember when he sought to reform the Lords - yet he’s now just another crony. Poor. https://t.co/1NhLl1e2cA"
"3856","Toyota is the latest auto giant to threaten to pull out of the UK in the event of a 'bad Brexit' https://t.co/ixvqY9UIf2"
